,claim_text,premise_texts,year,quarter,label
234,"claim: So yeah, we looking forward to a great holiday and that includes working with our shipping partners both in the U.S. and globally.","premises: [""We've worked very closely with them to line up capacity, share capacity plans."", 'We certainly have additional delivery capability of our own.', 'But with all of our partners, we work well in advance of the holiday to get our plans in place.']",2016,Q3,0
1217,claim: I'm always a little vary to put too much into the unit growth number.,"premises: [""As I've talked in other quarters, it's a number that's excludes AWS subscription services, advertising and Whole Foods, which are some of the fastest growing areas and we also have – are actively selling subscription services like Kindle Unlimited and Amazon Music Unlimited, which can cannibalize unit sales.""]",2019,Q2,0
837,"claim: So that increment, that acceleration in desktop revenue growth is largely due to our efforts on reducing the impact of ad blocking.","premises: ['On ad blocking, in terms of the impact, I would just point out that this quarter we had 18% year-over-year desktop revenue growth.', 'If you look at recent quarters, it was about half of that growth rate on a year-over-year basis.']",2016,Q3,2
1333,"claim: The way I tend to think about it is, with any service you want the gross margin itself to improve, and that includes in the Azure services components themselves.","premises: ['The difference between core compute in-store versus the premium layers can be significant and we’ve had improvements across all of them.', 'Anyhow, we saw significant improvement this year.', 'We expect a lot of improvement again next year on each of those service lines.', 'And where the actual mix occurs among those lines, I think we will just have to wait and see, but that’s why I tend to not focus at that layer it’s like can you get every service better, can you make material improvement, and then of course can you get usage and consumption going that leads to premium service usage, and of course over time you’d expect a higher mix of premium versus core.']",2017,Q4,1
1650,claim: I think that's going to be a much better experience that people really enjoy and like.,"premises: [""And if we can make it so that you can have some of those interactions in an automated way where you fire off a text and then just get a response back quickly, but asynchronously so it doesn't take up your full attention, then""]",2016,Q2,0
1208,claim: So that should be well received by the Indian consumer base.,premises: ['We also recently announced Echo and Alexa are available in India.'],2017,Q3,0
422,"claim: If you look at iPhone 6 today, and add iPhone 6 Plus and compare that to last year’s 5s we are doing better, at that price point than we were previously.",premises: ['The iPhone 6s is the most popular iPhone that we currently sell.'],2015,Q4,2
632,claim: The same – my same response applies and I think we'll do quite good in iPhone. I,"premises: [""do believe we'll grow this quarter as we put in our guidance that when you start with a number in the low 30s in terms of the percentage of the installed base that’s upgraded that had a phone pre the iPhone 6 and 6 Plus, that number still likely to leave a lot of headroom beyond December."", 'I do think that the sort of the macro things that I spoke about earlier, the upgrade programs, the Android Switcher rate, the iPhone momentum in the emerging markets and the LTE penetration in these markets these trends are not one quarter things.', 'These are longer term things.']",2015,Q4,0
1133,claim: And so what's happening is that SMBs are turning to Facebook pages as their mobile solution.,"premises: ['And setting up a mobile app, getting people to find and download a mobile app, can be even more expensive.', ""They're free, they're easy to set up, and they already know how to do them because almost all of them are already Facebook users in the first place.""]",2016,Q1,0
818,"claim: But I have to tell you that given that we’ve launched in October, I'm actually unbelievably shocked, positively shocked at how many merchants were able to implement Apple Pay in the heart of their holiday season,",premises: ['because generally most people sort of lock down and don’t do very much.'],2015,Q1,0
1513,claim: And so the local competition is not new.,premises: ['The local competition was obviously there this quarter and has been there for many quarters before.'],2015,Q1,0
733,claim: I am actually going to cover in commercial segments as one,"premises: [""because really when you think about the commercial cloud, it's really about capturing the opportunity of selling more complete solutions which include dynamics and office plus some components of Azure which is I think really the trend you'll see us talk about from here on out.""]",2017,Q1,0
982,claim: We’re looking forward to investing in New York and Northern Virginia and being a good community partner as well as Nashville.,"premises: ['Of course, in November, we announce we selected New York City and Northern Virginia and between the two cities, we will be investing $5 billion and creating more than 50000 jobs.', 'We also announced a Operations Center of Excellence to be opened up in Nashville, which is about -- estimated to be about 5000 jobs.', ""So right now, we're working through some next issues in both cities.""]",2018,Q4,2
2075,claim: And that’s an optimistic sign for me for the future.,"premises: ['But as Watch has grown, it has proven to us that that these sub-experiences as part of our different apps, similar with IGTV, can be quite successful.']",2019,Q1,0
2087,claim: And so we see that as a huge opportunity.,"premises: ['Secondly, I would say we were blown away by the level of Android switchers that we had last quarter.', 'It was the highest ever by far.']",2016,Q1,0
1355,"claim: I think the specific ads will be part of how we do that, but it won't be the only way.","premises: [""It will also be the targeting that we have and the targeting capabilities that we're doing with things like Custom Audiences and getting better and better at that.""]",2015,Q1,0
1831,"claim: If you think about the portion of our commercial cloud gross margins that come from depreciation, it's best to think of it as roughly half.","premises: [""And actually it's been going up as we began to get scale through these services over time actually."", 'Some of the fixed costs, frankly, even in COGS, tend to come down as a percentage over time.']",2018,Q3,0
1688,claim: But I think one of the successes you are seeing we’re having right now is that we are helping people move to Stories more quickly because of the lessons we learned.,"premises: ['So for example, automatic placements, what automatic placements do is they convert Feed ads into a Stories format and deliver the ads wherever they get their best results.']",2019,Q2,0
1405,"claim: So the issue is not that, and it’s not a market share number,","premises: ['We think that what we know, that if you look at the Fortune 500 as an example, we’re in essentially all of the Fortune 500 companies.', 'because our market share is extremely high.']",2015,Q1,0
1930,"claim: The number of developers that either have done something, or even more the case, that are working on things that I've seen are growing tremendously.","premises: [""There's a lot of interest out there and the number of categories that I'm seeing from gaming to shopping, to I was in China a few weeks ago and saw AR in an art sense, in an art exhibit."", 'I was in Berlin last week and saw it being used in a historical educational kind of sense.']",2018,Q4,0
780,"claim: Yes, I am going to - if I add one thing, I will just say that nothing shows up in just one quarter.","premises: ['We have been working on this for a long time whether it is the product and the approach we have taken from IaaS to PaaS to SaaS, even the diversity of our SaaS offerings, and also how we think about going to market.', ""All of these have been multiple years of hard work, and clearly there is momentum across the board, and that I think is what you are seeing and we are excited about this quarter's execution and performance, and I think it bodes well for what we do in the future, but the key is for us to recognize that this is about the sort of long-term commitment to a big opportunity in making sure that you line up your execution against that.""]",2017,Q4,1
1506,"claim: So that does have some impact on capital intensity and part of the driver, where we’re seeing kind of capital intensity increase over the – over the past several years.","premises: ['The capital intensity of the business over the last several years had come up, and part of what is driving that are real changes in the business as it relates to our opportunity to deploy capital against things like ads targeting as well as the fact that we’ve seen the user base growth shift to regions like Asia and we’re now building our CapEx to what’s effectively an Asian peak and so that’s a lower ARPU user base.']",2019,Q1,1
728,"claim: And on a sequential basis, when we look into the June quarter, we expect to see another 40 basis points of negative impact from currency.",premises: ['And I mentioned during the call in January that we were expecting FX to have a negative impact on a sequential basis of about 100 basis points after the effect of the hedges.'],2015,Q2,2
1248,claim: We're going to continue to invest in video and increase that investment in 2018.,"premises: [""It's because the video business is having great results with our most important customer base, which is our Prime customers."", 'It continues to drive better conversion of free trials, higher membership renewal rates for existing subscribers and higher overall engagement.', ""We're seeing the engagement go up year-after-year in video and also music and a lot of the other Prime benefits."", 'We also know Prime members who watch video also spend more on Amazon.', ""And we have a lot of data where that's the advantage we have is that we see the viewing patterns, and we also see the sales patterns, so we can tie the two together and understand which video resonates with Prime members, which video doesn't, and make mid course corrections.""]",2017,Q3,1
1807,"claim: We spent a tremendous amount of time on our seller business over the years and trying to improve both the experience for sellers, as well as customers.","premises: [""And we've done a lot of interesting things to help sellers and that’s why you see the results that we're seeing today 44% of our units today, as of this quarter, our third party units, that’s up about 400 basis points from last year."", ""Certainly one of the things that we've talked about its most, that’s notable is fulfillment by Amazon."", 'And so the benefit for sellers is they get to take advantage of our multi newer fulfillment network globally, we have a 109 fulfillment centers globally, as well as our customers get to take advantage of that as prime numbers where we offer in those geography.']",2015,Q1,0
1832,"claim: Now, if you think about some of the dynamics that we've been going through in the intelligent cloud segment, in particular the way I tend to think about that, as you've seen, we're now 20% growth this quarter in that server and product services KPI, 17% on a constant currency basis, and are sort of confident that you should continue to see that, as I said, into Q4 and then into FY 2019 as well.","premises: [""I tend to think about that as we'll have significant revenue growth in that segment."", ""We'll have significant gross margin dollar growth in that segment, and you'll actually continue to see operating margin dollar growth that's significant in that segment even as we reinvest into it, given the top line signal."", ""If you think about gross margins in particular, what you'll see is Azure continuing to be a growing percentage of the total revenue growth.""]",2018,Q3,1
2127,"claim: So, yeah, I would say essentially with that backdrop, we're still very, very encouraged by the demand and the reception from customers on the consumer side.","premises: ['We have Amazon fulfilled units are still growing faster than paid units.', '3P is now up to 53% of total paid units.']",2018,Q3,0
1752,"claim: I think we are starting, as Satya said, we started to see some impact from that in my opinion in Q4 in the on-prem KPI.",premises: ['But it really was more in Windows.'],2018,Q4,2
176,"claim: We’ve opened a period of, however, long it takes to address regulators and different experts and constituents questions about this and then figure out what the best way to move forward is and that’s certainly what we’re planning to do with Libra.","premises: ['So, we worked with the 27 other members of the association to publish the white paper to put the idea out there expecting that this is a very important and heavily regulated area and there were going to be a lot of questions.']",2019,Q2,0
766,"claim: On the first part of your question about original content, we have done some original content.","premises: [""It's focused on Apple Music.""]",2017,Q3,0
237,"claim: Well, you know, Shannon, we've gone through different cycles.","premises: ['In some cases, our revenue growth exceeds our OpEx growth.', ""In other cases, like fiscal '19, it was the other way around.""]",2019,Q4,0
1889,"claim: So that was one of our first forays in the live format that – one of the first forays in the live format where we had live ads and kind of, we're not only learning the technology, but learning to – learning that business.","premises: [""We've done some things like the Prime Original Series All or Nothing; the third season's coming up soon, focused on the Dallas Cowboys.""]",2018,Q1,0
1792,claim: So what you're seeing in our results right now are very strong growth for Facebook and very strong growth for Instagram.,"premises: ['We hit 3 million advertisers for Facebook.', 'We hit 200,000 for Instagram, and often the platforms really work together.']",2016,Q1,0
1599,"claim: We learn from every Q4, this one was no exception.","premises: ['We are already making plans for a smoother Q4 next year.', ""We will continue to add fulfillment capacity, we will work with FBA sellers on inventory stocking and timing and we think that there's things that we can do better as we do every year, come out of fourth quarter with immense learnings""]",2016,Q1,2
800,"claim: But I would say, in general, I think it's important to keep in mind that if we look around the world, we do see a lot of positive signs, but we also know that the macroeconomic environment is slowing down in a number of places around the world.","premises: [""On the September quarter, when I look at the sequential increase for iPhone units that we are expecting, I would say that it is, even with the sell-through adjustments that you've talked about, it's still pretty much in line with what we've seen in the past.""]",2016,Q3,2
1779,"claim: And I think in many ways Keith what we have done is a really a natural extension of some of the investments we’ve made over the past 18 months to add technical resources to be more present in customer accounts, to really drive their transformation towards success outcomes.","premises: ['You are seeing it even in our intelligent cloud results for the last quarter and this quarter.', 'We’re taking that learning over the past 18 months and really applying it at a broader scale across the sales force to put those resources where we feel confident that they will have a good long-term return in that next phase of transformation.']",2017,Q4,2
1717,"claim: So, yeah, so, Justin, over time ad load has been one of the factors driving year-over-year growth.","premises: [""It's just worth noting that it is up significantly from where we were two years ago.""]",2015,Q3,1
1660,claim: So I feel good that we're staying on the trajectory that we showed in the projections.,"premises: ['I do think the work we showed at the analyst meeting on the importance of increasing the install base across Office and Exchange, that it did occur again this quarter.']",2015,Q4,0
89,"claim: As I said earlier, we will be discussing capital allocation plans when we review our March quarter results.","premises: ['And when you look at our track record of what we’ve done over the last several years, you’ve seen that effectively we were returning to our investors essentially about 100% of our free cash flow.']",2018,Q1,0
832,"claim: The other big influence is the same trends are happening in international with respect to FBA growth and the fact that our Amazon fulfill network, or the units we shipped, are growing at a much faster clip than our paid unit growth.","premises: ['Last year we said that was a 40% – nearly 40% growth worldwide.', ""So we're making the investments in warehouses, fulfillment capacity and delivery capacity to handle that."", ""So there's a lot going on in international.""]",2017,Q1,1
1782,claim: But I like where we are.,"premises: [""Our revenues on Apple Music grew over 50% as I'd mentioned earlier during the quarter, and so some really, really strong results.""]",2018,Q3,2
718,claim: So what we're saying is just continued strong usage both by existing customers and signing new customers for – see increased pace of enterprise migrations as customers are having success with AWS and increasingly trying new services.,"premises: ['We are seeing people move more and more of their workflows to AWS and at a faster pace.', 'And customers are moving databases to AWS as Aurora continues to grow at a very rapid clip.']",2018,Q1,0
2063,"claim: Yeah, I wouldn't call it pressure, Walter, just how I think about it.","premises: [""There's just an expiration base that comes up every quarter.""]",2018,Q1,0
1119,"claim: So we are starting to get to that point Mark where you have a big base, which is still growing at a fast rate, and so especially ARR numbers can see big jumps in the one that you saw this quarter, and your right, Q4 is also historically quite a big quarter and this one certainly was as well.","premises: ['When you think about, you are right, it is a big number, and I feel very good about it, and for the year on a pure basis it was $15 billion of commercial cloud revenue.']",2017,Q4,1
170,"claim: So that's, I think, one of a number of factors.","premises: [""We launched month-to-month Prime last year and if you think about how that works, customers are paying $10.99 per month as they go, so there's less that's deferred.""]",2017,Q3,1
1595,"claim: And so, we're seeing consumers adopting that and we're building products for them.","premises: ['But what Mark alluded to was video is where people – as networks improve and devices improve and our products improve, video is the most engaging experience that we can offer.']",2017,Q2,0
1462,"claim: From our point of view, this is a service we want to provide our customers.","premises: [""And so we're working very closely with the appropriate government agencies, and we hope to make books and movies available again to our customers there.""]",2016,Q3,0
2167,"claim: So in terms of experimenting with different content, I think we'll try a number of different things here.","premises: [""In terms of working with folks to produce all kinds of content, sports is probably something that we'll want to try at some point.""]",2017,Q1,0
198,"claim: So as you can tell, we've been pretty transparent with our AWS revenue and income numbers we've been breaking it out for 2015 and we're very happy with the growth in absolute dollar terms and we're seeing a pick up from customers and their usage, their increased pace of enterprise migrations, increased adoption of our services especially our machine learning services.","premises: ['And continually again AWS is being chosen as a partner to many companies because of our leadership position both in technology, our vibrant partner ecosystem, and also the stronger security that we offer.']",2019,Q2,1
1811,claim: We do believe that some of our ad success is taking people from demand generation through demand fulfillment.,"premises: [""So we have multiple clients who will show an ad, a video ad to everyone in the U.S. for example or to a big cohort of people and then they'll follow up with an ad that target on either Instagram or Facebook to people who engage with that first that then they can follow up with the next team and we are seeing as businesses are increasingly measuring your ad spend in terms of their real ROI for sales that even within our own platforms.""]",2017,Q4,0
476,"claim: The other comment I would say about video is we're very happy with the Amazon Studios content, in particular.","premises: [""We've had some great success in 2014 and 2015."", 'As you probably know, Transparent has won multiple Golden Globes and Emmys, both for actors and for the show itself.', 'Mozart in the Jungle just won two Golden Globe Awards.', ""Catastrophe Season 2, Bosch Season 2, we're all looking forward to."", ""And in February, we will have Chi-Raq, our first original movie that we got to work with Spike Lee on, which won many critical, made many critics' best film list in 2015.""]",2015,Q4,2
1131,claim: And so you probably have a little bit of that that is shaking out.,"premises: [""There is probably some level of cannibalization that's going on with the Mac on one side and the Phone on the other.""]",2015,Q1,0
574,"claim: In general, fiscal 2019 will have a higher base than fiscal 2018, just as you start to think through the impacts on bookings for the next year.","premises: [""And as we talked about, Q3 has that same attribute, it's higher than it was a year-ago Q2."", 'The reason we called it out, obviously, because it was such an outlier.', 'And if you look back three years sort of how this EA expiry base works, our performance this quarter was really strong compared to three years ago']",2018,Q2,2
1824,"claim: So as you point out, the year-over-year difference is primarily driven by investments, what we were within the guidance range and we continue to invest in, as I said, fulfillment capacity and logistics services, digital video, our Echo and Alexa, Echo devices and Alexa platform India, the buildup at the AWS infrastructure, all the things I mentioned not to mention Prime Now and Amazon Fresh and Prime benefits.","premises: [""You'll see it's 42%, and in the past, I'd say most of that is driven by operations hiring."", 'We did see a big jump in head count in year-over-year.', ""I've even said that headquarters or office hiring many times in the past was below the level of revenue growth."", ""Right now, what we're seeing is an accelerated growth rate in software engineers and also sales teams to support primarily AWS and advertising.""]",2017,Q2,0
555,claim: It was a good quarter for that.,premises: ['We’ve seen consistent double-digit billings in this segment and it speaks to that.'],2019,Q4,2
1424,"claim: And so without giving you exact numbers, if we would have the same rate on iPhone 6s that we did iPhone 6, it would be time for a huge party.","premises: [""The iPhone 6s upgrade cycle that we've measured for the first half of this year, so the first six months of our fiscal year to be precise, is slightly better than the rate that we saw with the iPhone 5s two years ago, but it's lower than the iPhone 6."", ""It's a lot lower.""]",2016,Q2,1
980,claim: I will point out that we have continued to lower prices.,"premises: [""We've had multiple price cuts this year"", 'We are now up to 49 since launch in 2006,']",2015,Q2,1
420,"claim: So that includes our privacy, safety and security investments.",premises: ['So we are investing a lot in privacy related to building the products and also working on complying with the FTC settlement.'],2019,Q3,0
2013,"claim: Just on the 2019 expense growth guide, a lot of that is consistent with what we've been talking about as our big investment areas.","premises: [""If you look at just head count growth in the past year, it's up 45%."", ""So that compensation expense base that we're bringing into 2019 is really factoring into the overall growth guidance for the total expense guide, so that's a big factor there."", ""In addition, we've been investing significantly in CapEx, and those investments are starting to flow through the P&L in terms of depreciation."", ""And then I'd point to significant investment areas like AR/VR efforts, the content ecosystem around video, and the ongoing investment in safety and security.""]",2018,Q3,1
1529,"claim: So I feel we are well positioned to what is going to be a much larger market than what was traditionally gaming, in spite of all the success we’ve had over the years in gaming.","premises: ['And we now have a business model with Game Pass as well as all the supporting mechanisms for Game Pass like game streaming, we’ve a social network in Xbox Live that is the best in the business.']",2019,Q4,0
2031,claim: And so there's an enormous upgrade cycle there for people that are still running on 3G handsets.,"premises: [""In terms of China, the LTE penetration as of the end of last October, which is the last data I've got, was in the mid-20s.""]",2016,Q1,2
336,"claim: But as I said earlier, a unit of sale is less relevant today than it was in the past.","premises: [""To give you an example, the unit sales of iPhone at the top end of the line have been very strong during the September quarter, and that's very important because we're attracting customers to the most recent technologies and features and innovation that we bring into the lineup, but you don't necessarily see that in the number that is reported.""]",2018,Q4,2
301,claim: And so we're very pleased with the kind of continued adoption and usage growth we've seen and obviously the benefits of AWS around their ability – customers ability to be nimble as a primary factor there.,"premises: ['Its probably is worth adding that, although prices are factor, the primary factor for customers choosing with AWS is really around their ability to move quickly and to be nimble and agile']",2015,Q1,0
873,"claim: As you've seen from our track record during the last five years, we will do it at a very fast pace but we also want to do it efficiently.","premises: ['We want to make sure that we buy back the stock at the right time.', 'And so with that in mind, we have done $23.5 billion of repurchases during the March quarter.']",2018,Q2,2
1500,"claim: So for the iPad and Mac categories, you need to keep in mind that our launch timing is different on a year-over-year basis.","premises: ['One thing to keep in mind as we look at this guidance range is the fact that we also contemplated the comparison to the launch of the iPad Pro, a year ago for iPad as well as the new MacBook Air that was launched during the December quarter last year']",2019,Q4,1
2043,claim: And so I think we're leading and I think we have a lot more to do.,"premises: [""I would say that, one, our products aren't simple enough yet, because they can never be simple enough for SMBs, but two, our products are probably the simplest ones out there."", ""If we look at even in the United States, which is a very advanced market, I think it's something like 35% of SMBs don't have a web presence of any kind."", ""But a great majority of those do have a Facebook page, and that's because setting up a web presence for an SMB is complicated and expensive."", ""You can't just start a webpage."", 'But it is easier and free to start a Facebook page until you see broad adoption.']",2015,Q2,0
758,claim: What we’ve definitely done over the last year and plan to invest even more in over the next year is worked hard on vertical specific targeting.,"premises: ['So for example for the telecom industry being able to target existing consumers with new consumers with people who are -- their voice plan or data plan’s about to expire.', 'With the auto industry, really important industry for growth for us, helping them figure out who their current customers are, who their potential customers are and where are the audience segments out there who have similar likes, interests, backgrounds, demographics to their current customers so that they can serve right ad to the right people.']",2015,Q4,1
1128,claim: So we obviously feel good about a 20% growth.,"premises: ['First of all, it’s a 20% year-over-year growth that we’re guiding at the top end of the range.']",2015,Q1,1
2011,claim: And then the initial version of what we shipped I just think wasn't as high-quality as where it needed to be.,"premises: [""It wasn't as fast."", 'There were bugs.']",2018,Q3,0
1225,"claim: So that is going to be the offset, and I mentioned particularly the impact from the memory pricing environment which is a headwind at this point.","premises: ['Just to size it for you, the impact of memory on our gross margin is 40 bps sequentially and 110 bps on a year over year basis.', 'As I mentioned, I think to Toni, we have higher cost structures every time we launch new products.']",2017,Q4,1
910,"claim: It's growing very, very fast Mike.",premises: ['I think it was up around 70% over the previous year.'],2019,Q2,1
1974,"claim: When you look at our current product portfolio, it is much broader than it used to be.","premises: ['We’ve now developed two new iPhones over the year.', 'We were not doing that a few years ago.', 'Developed two iPads.', 'And of course now we have the Apple Watch.', 'We’re also developing some core foundational technologies more in house now than we were in the past.', 'And of course we’re also spending ahead of some of the products that will generate revenues in the future.']",2015,Q2,1
654,"claim: On the political spending, our business is broad-based,","premises: [""not that no one event drives our business, we're pretty large and diversified.""]",2016,Q2,0
312,"claim: I do think to your point that the monetization paths are going to be somewhat different, reflecting the differences in product philosophy.","premises: ['So Messenger is much more focused on being an expressive and rich environment that has lots of different types of content.', ""Kind of more like Facebook to the Instagram example that we used before, whereas WhatsApp I think is a much more utilitarian experience with a much more stark UI where there's just not as much emphasis on having a lot of different ways to engage.""]",2016,Q4,0
2115,"claim: Katy, one of the things that we did not get right was the mix between the iPhone 7 and the iPhone 7 Plus.","premises: ['There was – wound up that demand was much stronger to the iPhone 7 Plus than we had predicted.', 'And so it took us a little while to adjust all the way back through the supply chain and to bring iPhone 7 Plus into balance, which occurred early this past quarter.']",2017,Q2,2
1702,"claim: The other thing I will mention is, we have more of a commitment I would say which is been there from a long time to build out a global footprint with more regions and anyone.","premises: ['We are more certifications than anyone in terms of adhering to both regulated industry as well as digital sovereignty.', ""We've done many things we're the only cloud provider for example that operates in China."", 'We operate in Germany under German law.', 'And that matters to multinational companies but also are trying to operate across many geographies and jurisdictions.']",2017,Q1,0
212,"claim: There is no doubt that we had a unbelievable year last year and the Q2 was particularly really, really strong",premises: ['because of the pent-up demand that left from Q1 in addition to Q2.'],2016,Q1,1
37,"claim: And so I think we have a considerable opportunity to grow, and we also expect those underlying numbers time on mobile to continue to grow.","premises: ['In terms of penetration, we work with almost all the large marketers almost everywhere in the world.', 'But even for the largest, the largest clients we have, we are a very small part of their budget.', ""I don't think we have any large clients, if you look at 25% in the U.S. of consumer media time is on mobile and then 20% of mobile time goes to Facebook and Instagram that would be 5% of U.S. consumer media time."", ""With our largest clients, even our large ones, we're not close to 5% of their spend.""]",2015,Q1,0
585,"claim: Yes, it's a gift to our users, and from a business point of view, we'd like to -- we're really proud of the content.","premises: ['And so this allows us to focus on maximizing subscribers, particularly in the early going.']",2019,Q4,0
697,"claim: And what we're seeing is big brand advertisers, and this is actually particularly strong growth.","premises: ['This quarter was particularly strong for brand, are really recognizing that they can do big brand buys on our platform like they would do on TV, but make them much more targeted.']",2016,Q3,2
602,"claim: That said, we're really excited about the opportunity I talked about, increasing the entertainment and media vertical and brand marketers, particularly.","premises: [""But I think all marketers have the opportunity to do video, and that's pretty exciting, including SMBs who would never be able to hire a film crew and buy a TV ad.""]",2015,Q1,0
1823,"claim: As far as Q2 is concerned, we were very encouraged by the revenue and unit growth acceleration, particularly in North America.","premises: ['Also point out that AWS stepped up its run rate from a $14 billion run rate last quarter to $16 billion.', 'And gross margin expanded 130 basis points.']",2017,Q2,2
1667,"claim: And of course, as you mentioned, we're very excited about the fact that we're going to be launching new services soon.","premises: [""As Tim said, we're starting the rollout of Apple Card in August, and there's two more very important services that we’re going to be adding to our portfolio during the fall."", 'One is Apple Arcade, which is our gaming subscription service, and then of course Apple TV+, which is our video streaming service.']",2019,Q3,2
1080,"claim: I think one of the challenges we’ve had is training the market that you can’t just take your TV ads and put them on video – I’m sorry, put them on mobile or put them into Facebook,","premises: ['because they don’t perform the same way.', 'The best TV ad is 30 seconds, it builds slowly to a story, the product reveal is usually at the very end, the best mobile first ad or ad-on Facebook kind of gets to the main point or gets to the product in the first three seconds, captures your attention much more quickly.', 'We sometimes talk about it as some stopping creative, where you actually want to stop and watch.']",2019,Q2,0
2017,claim: The way that this is improving the work that we're doing around security and integrity is also very fundamental.,"premises: ['Today, that whole model is that people can post what they want and then a person can flag it, and then our systems will look at it.', ""But increasingly as we move into the future, we're going to be able to proactively take down some negative content."", ""I gave the example of the terrorism-related content and some things around suicidal post where if someone posts something that they're thinking about suicide."", ""Now today, we don't have to wait for someone to report it a lot of the time."", ""In the last few months, there have already been more than 100 instances where we've been able to reach out and get in touch with first responders that they can give you people the help that they need, and that's a big structural change in the way that we do business in terms of protecting the security and integrity of our community.""]",2017,Q4,2
1755,claim: So the first thing that I want to stress here is that these kind of new platforms take a long time to develop,"premises: [""So we've said often that we think that virtual reality and augmented reality could be the next big computing platform."", 'But just to put that in perspective and compare it to the development of previous computing platforms like phones and computers, I think the first smartphones came out in 2003, and in the first year, I think BlackBerry and Palm Treo were the initial smartphones that came out.']",2015,Q3,1
599,"claim: It's still early days and we're very focused on quality and it's worth noting that not all of the revenue from video is incremental,",premises: ['because the video ads take the place of other ads that we would have served into News Feed.'],2015,Q1,0
967,"claim: Lot of good cost efficiency, but again we're continuing to invest so actively as we build the Prime platform and that we have customers.",premises: ['So North America operating margin up a 120 basis points year-over-year to 3.9%.'],2015,Q1,1
849,"claim: Frankly, the numbers in those in terms of IT spend or intent to spend, they aren't much different than we've seen.","premises: [""For me, what I think is missing in that question is really – it's not about any one customer saying wait, I'm going to spend 2% more or 3% more."", ""These are companies actually deciding that the change is required, not from an infrastructure perspective, but to change how they're running their business itself."", 'And so things that used to look more to them like capital expense or COGS or not just an IT budget, this is literally changing every business process they run or changing the services they offer, and thinking about literally driving their revenue differently.', ""And so I don't really associate it probably as much with a quote-unquote, budget that sits in IT very narrowly."", 'This is really about every budget that sits not just in IT, but under every functional leader of a company being spent differently and being spent on our technology.']",2017,Q3,0
1746,"claim: I think when you have that happen over time, it builds confidence in the product and it builds confidence in end-user confidence in itself.","premises: ['Innovations around teams, innovations in AI in the actual Office products themselves are now being experienced by our customers.', 'And then purchasers are happy to continue to add SKUs and add and move up the scale.']",2018,Q1,0
981,claim: So is innovation.,"premises: ['As I said, we have over 350 new features and services – also significant features and services that have launched this year.', 'And as we were just talking with Carlos, the capital investment is very large as well, so we continue to fund it.']",2015,Q2,1
1560,"claim: Also, if I zoom out and look at China, as I have said before and just to make the point once again is we see an enormous change in China over the next several years.","premises: ['The latest study I have seen from Mackenzie indicates if you look back five years China’s middle class had about 50 million people in it.', 'If you look ahead five years, it will have ten times that number in it.']",2015,Q4,0
1035,"claim: We think it's a great opportunity too, and so we're bringing all the things that we brought to bear in other markets that we've eventually done well in, and that's from channel to stores to our ecosystem and so forth.","premises: ['Phil [Schiller] was just over there opening a developer center last quarter, and so there are a ton of things going on there.']",2017,Q2,2
1733,claim: And so we turned the corner in Music.,"premises: ['Apple Music was up, subscriptions were up 75% year over year.', ""We're getting the highest conversion rates that we've had since the launch of the service.""]",2017,Q4,0
1093,"claim: They hold us accountable for making their experience quick, and we want to do everything we can to do that.","premises: [""And people in our community, they don't know the difference about whether that content is coming from Facebook or a different place.""]",2016,Q1,0
337,"claim: And the long term I think is very, very strong there.","premises: [""There's a huge number of people that will move into the middle class.""]",2018,Q4,0
1316,"claim: I think that, yes, I mean, Cosmos DB's pretty unique capability in combination with everything else we do in both the data layer, the AI layer and the infrastructure layer, I think we have a tremendous opportunity,","premises: ['because, as I said, this AI era is mostly first a data era.']",2018,Q3,0
1968,claim: I do really focused and I think it's important if you're trying to understand the buildup of our commercial business to focus only on the unearned commercial balance.,"premises: ['Our overall long term under imbalance has been impacted by the Windows 10 deferral over the past.', 'And so it can make a bit of a distraction towards seen the underlying trends.']",2017,Q1,2
1775,"claim: To your second question on Office -- I'm sorry, on Windows Commercial overall, our real investment -- and you're right, we are starting to reach some tougher comparables.","premises: [""But a lot of that comparability, which you referenced, is due a little bit of how it's licensed, which is a lot of this is new and gets recognized more upfront in quarter.""]",2019,Q2,2
912,"claim: Clearly, what we've learned here and it's not a surprise really is that the -- many, many people do want to trade-in their current phone.","premises: ['It does -- from a customer user point of view the trade-in looks like a subsidy, and so it is a way to offset the device cost itself.', ""And many people in literally every market that we've tried this in, there is a reasonable number of people that want to take and pay for something on installments instead of all at once.""]",2019,Q2,0
1371,"claim: So we continue to see good opportunities to grow time spent, continue to see good opportunities to grow users, and we continue to see good opportunities to grow advertiser demand.","premises: [""Just really reiterating what I said last quarter about our expectations on ad load going into mid-2017, it's been one of the key factors in terms of driving growth along with time spent – user growth and time spent growth and advertiser demand.""]",2016,Q3,2
1927,"claim: Of course, we're also improving the quality of the services that we provide and if you look back during the last three years, we've added new services to our portfolio.","premises: ['We added Apple Pay, we added Apple Music.', 'We added this advertising business on our App Store.']",2018,Q4,1
